,company,name,fuel_type,kms_driven,year,price,vehicle_engine,vehicle_type
0,MG,MG HS,Petrol,6000,2021,6525000,1490,Automatic
1,Toyota,Toyota Aygo,Petrol,68000,2021,1625000,1000,Manual
2,Honda,Honda City,Petrol,150000,2021,2550000,1300,Automatic
3,KIA,KIA Sorento,Petrol,18000,2021,9000000,3500,Automatic
4,Toyota,Toyota Corolla,Petrol,110000,2021,3350000,1300,Automatic
5,Nissan,Nissan March,Petrol,100000,2021,1050000,1000,Automatic
6,Honda,Honda Civic,Petrol,20500,2021,6275000,1800,Automatic
7,Suzuki,Suzuki Cultus,Petrol,25025,2021,1025000,1000,Manual
8,Honda,Honda City,Petrol,88000,2021,3150000,1300,Manual
9,Honda,Honda Civic,Petrol,70000,2021,4990000,1800,Automatic
10,Honda,Honda Civic,Petrol,107000,2021,1400000,1500,Manual
11,Honda,Honda Civic,Petrol,150000,2021,1360000,1600,Manual
12,Suzuki,Suzuki Alto,Petrol,21000,2021,2180000,660,Manual
13,Toyota,Toyota Corolla,Petrol,82000,2021,2450000,1300,Manual
14,Honda,Honda BR-V,Petrol,112000,2021,3850000,1500,Automatic
15,Suzuki,Suzuki Wagon R,Petrol,23000,2021,2250000,1000,Manual
16,Suzuki,Suzuki Mehran,Petrol,65000,2021,1150000,800,Manual
17,Suzuki,Suzuki Alto,Petrol,118000,2021,1150000,1000,Manual
18,Toyota,Toyota Aqua,Hybrid,119200,2021,3900000,1500,Automatic
19,Honda,Honda City,Petrol,43000,2021,3800000,1500,Automatic
20,Mercedes Benz,Mercedes Benz E,Petrol,75000,2021,9500000,2000,Automatic
21,Range Rover,Range Rover Evoque,Petrol,7000,2021,60000000,300,Automatic
22,Toyota,Toyota Corolla,Petrol,180000,2021,2500000,1300,Manual
23,Suzuki,Suzuki Alto,Petrol,20000,2021,2600000,660,Automatic
24,Daihatsu,Daihatsu Move,Petrol,1,2021,1950000,660,Automatic
25,Daihatsu,Daihatsu Mira,Petrol,50000,2021,2150000,660,Automatic
26,Toyota,Toyota Vitz,Petrol,175000,2021,1580000,1000,Automatic
27,Honda,Honda Civic,Petrol,220000,2021,1125000,1600,Manual
28,Toyota,Toyota Prius,Petrol,80000,2021,4300000,1800,Automatic
29,Toyota,Toyota Corolla,Petrol,126000,2021,265000,1300,Manual
30,Suzuki,Suzuki Cultus,Petrol,71000,2021,1680000,1000,Manual
31,Toyota,Toyota Hilux,Diesel,100000,2021,5800000,2500,Automatic
32,Toyota,Toyota Passo,Petrol,135000,2021,3800000,1000,Automatic
33,Mercedes Benz,Mercedes Benz S,Petrol,39500,2021,34000000,3500,Automatic
34,Toyota,Toyota Yaris,Petrol,33000,2021,4350000,1500,Automatic
35,Toyota,Toyota Corolla,Petrol,43950,2021,4640000,1600,Automatic
36,MG,MG HS,Petrol,8000,2021,6895000,1500,Automatic
37,Changan,Changan Alsvin,Petrol,18700,2021,3995000,1500,Automatic
38,BMW,BMW  Series,Petrol,81000,2021,1750000,1800,Automatic
39,Toyota,Toyota Prado,Petrol,125000,2021,17000000,4000,Automatic
40,Toyota,Toyota Corolla,Petrol,25,2021,7525000,1800,Automatic
41,Toyota,Toyota Vitz,Petrol,134000,2021,2625000,1000,Automatic
42,Toyota,Toyota Yaris,Petrol,19500,2021,3800000,1300,Manual
43,Toyota,Toyota Corolla,Petrol,77300,2021,3200000,1600,Automatic
44,Honda,Honda BR-V,Petrol,148000,2021,4700000,1500,Automatic
45,KIA,KIA Sorento,Petrol,18000,2021,9000000,3500,Automatic
46,Suzuki,Suzuki Cultus,Petrol,150000,2021,1585000,1000,Manual
47,Honda,Honda City,Petrol,14000,2021,5000000,1500,Automatic
48,Toyota,Toyota Corolla,Petrol,27855,2021,4650000,1300,Automatic
49,Toyota,Toyota Corolla,Petrol,110000,2021,3350000,1300,Automatic
50,Honda,Honda HR-V,Petrol,45,2021,7450000,1500,Automatic
51,Honda,Honda City,Petrol,60000,2021,2730000,1300,Manual
52,Toyota,Toyota Corolla,Petrol,200000,2021,1170000,1300,Manual
53,Suzuki,Suzuki Cultus,Petrol,60000,2021,1170000,1000,Manual
54,Honda,Honda Spike,Hybrid,123000,2021,2450000,1500,Automatic
55,Suzuki,Suzuki Cultus,Petrol,43900,2021,1080000,1000,Manual
56,Toyota,Toyota Corolla,Petrol,6350,2021,7375000,1800,Automatic
57,Honda,Honda City,Petrol,14000,2021,4950000,1500,Automatic
58,Nissan,Nissan March,Petrol,100000,2021,1050000,1000,Automatic
59,Daihatsu,Daihatsu Charade,Petrol,82255,2021,200000,1000,Manual
60,Honda,Honda Civic,Petrol,20500,2021,6275000,1800,Automatic
61,Suzuki,Suzuki Cultus,Petrol,25025,2021,1025000,1000,Manual
62,Toyota,Toyota Passo,Petrol,91000,2021,2500000,1000,Automatic
63,Toyota,Toyota Corolla,Petrol,10,2021,6450000,1600,Automatic
64,MG,MG HS,Petrol,17000,2021,6150000,1500,Automatic
65,Honda,Honda City,Petrol,45286,2021,3120000,1300,Manual
66,Suzuki,Suzuki Mehran,Petrol,60000,2021,1080000,800,Manual
67,Honda,Honda City,Petrol,67000,2021,2425000,1300,Manual
68,Honda,Honda Civic,Petrol,115000,2021,1315000,1600,Manual
69,Suzuki,Suzuki Mehran,Petrol,60000,2021,1260000,800,Manual
70,Hyundai,Hyundai Tucson,Petrol,10,2021,7850000,2000,Automatic
71,Mazda,Mazda Flair,Petrol,32000,2021,3175000,660,Automatic
72,Toyota,Toyota Corolla,Petrol,84000,2021,3050000,1300,Automatic
73,Honda,Honda City,Petrol,60,2021,5490000,1500,Automatic
74,Toyota,Toyota Mark X,Petrol,76000,2021,11000000,3500,Automatic
75,Toyota,Toyota Crown,Petrol,72000,2021,7500000,2500,Automatic
76,Toyota,Toyota Sienta,Petrol,54000,2021,4800000,1500,Automatic
77,Suzuki,Suzuki Wagon R,Hybrid,36000,2021,3150000,660,Automatic
78,Honda,Honda HR-V,Petrol,1,2021,7525000,1500,Automatic
79,Honda,Honda City,Petrol,78000,2021,2050000,1300,Automatic
80,Toyota,Toyota Corolla,Petrol,71091,2021,3600000,1600,Automatic
81,Nissan,Nissan Sunny,Diesel,1987,2021,700000,2000,Manual
82,Toyota,Toyota Corolla,Petrol,85000,2021,3150000,1300,Manual
83,Daihatsu,Daihatsu Charade,Petrol,65000,2021,425000,1000,Manual
84,Suzuki,Suzuki Alto,Petrol,80000,2021,120000,1000,Manual
85,Toyota,Toyota Corolla,Petrol,99,2021,6500000,1600,Automatic
86,Suzuki,Suzuki Cultus,Petrol,75000,2021,515000,1000,Manual
87,Toyota,Toyota Corolla,Petrol,96200,2021,2300000,1300,Manual
88,Haval,Haval H,Petrol,85,2021,10500000,2000,Automatic
89,Honda,Honda City,Petrol,88000,2021,3150000,1300,Manual
90,Toyota,Toyota Prius,Hybrid,135000,2021,2520000,1500,Automatic
91,Hyundai,Hyundai Elantra,Petrol,6000,2021,5300000,1600,Automatic
92,Honda,Honda Civic,Petrol,70000,2021,4990000,1800,Automatic
93,Honda,Honda Civic,Petrol,122457,2021,3200000,1800,Automatic
94,Toyota,Toyota Corolla Axio,Petrol,90000,2021,2475000,1500,Automatic
95,Suzuki,Suzuki Alto,Petrol,45000,2021,2450000,660,Automatic
96,Honda,Honda Civic,Petrol,107000,2021,1400000,1500,Manual
97,Honda,Honda City,Petrol,27500,2021,2685000,1300,Manual
98,Suzuki,Suzuki Wagon R,Petrol,48000,2021,2160000,1000,Manual
99,Daihatsu,Daihatsu Mira,Petrol,75000,2021,1100000,660,Automatic
100,Toyota,Toyota Corolla,Diesel,100000,2021,320000,100,Manual
101,Mercedes Benz,Mercedes Benz S,Petrol,39500,2021,34000000,3500,Automatic
102,Honda,Honda Civic,Petrol,41000,2021,4350000,1800,Automatic
103,Toyota,Toyota Corolla,Petrol,85000,2021,2250000,1300,Manual
104,Honda,Honda Civic,Petrol,149000,2021,2650000,1800,Automatic
105,Suzuki,Suzuki Alto,Petrol,17500,2021,2995000,660,Automatic
106,Toyota,Toyota Surf,Petrol,265000,2021,4500000,3378,Automatic
107,Suzuki,Suzuki Swift,Petrol,22000,2021,4000000,1000,Automatic
108,Honda,Honda Vezel,Hybrid,40001,2021,7200000,1500,Automatic
109,Toyota,Toyota Hilux,Diesel,9500,2021,13350000,2800,Automatic
110,Honda,Honda Jade,Hybrid,132696,2021,5500000,1500,Automatic
111,Toyota,Toyota Fortuner,Petrol,13000,2021,12000000,2700,Automatic
112,Suzuki,Suzuki Alto,Petrol,123491,2021,540000,1000,Manual
113,Honda,Honda City,Petrol,94000,2021,2650000,1300,Automatic
114,Honda,Honda City,Petrol,74000,2021,2550000,1300,Manual
115,Toyota,Toyota Mark X,Petrol,147000,2021,4450000,2500,Automatic
116,Suzuki,Suzuki Alto,Petrol,98000,2021,2100000,660,Automatic
117,Toyota,Toyota Yaris,Petrol,33000,2021,4350000,1500,Automatic
118,Toyota,Toyota Duet,Petrol,100000,2021,1175000,1300,Automatic
119,Suzuki,Suzuki Cultus,Petrol,118000,2021,2250000,1000,Manual
